"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 08 13:47:45 GMT 2024","Fri Nov 08 13:47:52 GMT 2024","7045","","add-remove-elements.spec.ts","","add-remove-elements.spec.ts","","Add/Remove Elements Tests › User should be able to add and remove two elements",""
"passed","Fri Nov 08 13:47:45 GMT 2024","Fri Nov 08 13:47:47 GMT 2024","2574","","challenging-dom.spec.ts","","challenging-dom.spec.ts","","Challenging Dom Tests › 3 buttons with names changing randomly are visible",""
"passed","Fri Nov 08 13:47:45 GMT 2024","Fri Nov 08 13:47:50 GMT 2024","5749","","form-authentication.spec.ts","","form-authentication.spec.ts","","User should succefully login after providing proper username and password",""
"passed","Fri Nov 08 13:47:45 GMT 2024","Fri Nov 08 13:47:48 GMT 2024","3648","","input.spec.ts","","input.spec.ts","","Inputs Test › User should not be able to fill input with alphabet characters",""
"passed","Fri Nov 08 13:47:45 GMT 2024","Fri Nov 08 13:47:48 GMT 2024","3048","","broken-images.spec.ts","","broken-images.spec.ts","","Broken Images Tests › The github link and avatar images have proper source",""
"passed","Fri Nov 08 13:47:45 GMT 2024","Fri Nov 08 13:47:47 GMT 2024","2803","","broken-images.spec.ts","","broken-images.spec.ts","","Broken Images Tests › The second and third image on the page are broken",""
"passed","Fri Nov 08 13:47:45 GMT 2024","Fri Nov 08 13:47:47 GMT 2024","2592","","add-remove-elements.spec.ts","","add-remove-elements.spec.ts","","Add/Remove Elements Tests › User should be able to go to the ""Add/Remove Elements"" page",""
"passed","Fri Nov 08 13:47:45 GMT 2024","Fri Nov 08 13:47:47 GMT 2024","2722","","challenging-dom.spec.ts","","challenging-dom.spec.ts","","Challenging Dom Tests › The table contains specific data",""
"passed","Fri Nov 08 13:47:45 GMT 2024","Fri Nov 08 13:47:47 GMT 2024","2615","","frames.spec.ts","","frames.spec.ts","","Should be able to access all nested frames and verify hierarchy",""
"passed","Fri Nov 08 13:47:45 GMT 2024","Fri Nov 08 13:47:50 GMT 2024","4937","","file-uploader.spec.ts","","file-uploader.spec.ts","","Upload files Tests › User is able to upload file with ""Choose file"" button",""
"passed","Fri Nov 08 13:47:45 GMT 2024","Fri Nov 08 13:47:54 GMT 2024","9831","","forgot-password.spec.ts","","forgot-password.spec.ts","","The reset password message is sent after forgot password request",""
"passed","Fri Nov 08 13:47:45 GMT 2024","Fri Nov 08 13:47:47 GMT 2024","2477","","file-uploader.spec.ts","","file-uploader.spec.ts","","Upload files Tests › User is able to upload file using drag and drop area",""
"passed","Fri Nov 08 13:47:45 GMT 2024","Fri Nov 08 13:47:48 GMT 2024","3589","","geolocation.spec.ts","","geolocation.spec.ts","","Should access and show users geolocation",""
"passed","Fri Nov 08 13:47:45 GMT 2024","Fri Nov 08 13:47:58 GMT 2024","13639","","disappearing-elements.spec.ts","","disappearing-elements.spec.ts","","DisappearingElements Tests › The ""Gallery"" link shows and dissapears randomly",""
"passed","Fri Nov 08 13:47:45 GMT 2024","Fri Nov 08 13:47:49 GMT 2024","4056","","floating-menu.spec.ts","","floating-menu.spec.ts","","After scrolling down the floating menu is still visible",""
"passed","Fri Nov 08 13:47:45 GMT 2024","Fri Nov 08 13:47:48 GMT 2024","3601","","entry-ad.spec.ts","","entry-ad.spec.ts","","User should be able to close Ad modal",""
"passed","Fri Nov 08 13:47:45 GMT 2024","Fri Nov 08 13:47:50 GMT 2024","5754","","form-authentication.spec.ts","","form-authentication.spec.ts","","Error message should be shown after providing invalid username",""
"passed","Fri Nov 08 13:47:45 GMT 2024","Fri Nov 08 13:47:48 GMT 2024","3661","","dynamic-content.spec.ts","","dynamic-content.spec.ts","","Dynamic Content tests › The page content is different for every page refresh",""
"passed","Fri Nov 08 13:47:45 GMT 2024","Fri Nov 08 13:47:48 GMT 2024","3634","","disappearing-elements.spec.ts","","disappearing-elements.spec.ts","","DisappearingElements Tests › User is redirected to home page after clicking ""Home"" link",""
"passed","Fri Nov 08 13:47:45 GMT 2024","Fri Nov 08 13:47:48 GMT 2024","3630","","drag-and-drop.spec.ts","","drag-and-drop.spec.ts","","User should be able drag and drop card a to card b",""
"passed","Fri Nov 08 13:47:45 GMT 2024","Fri Nov 08 13:47:50 GMT 2024","4916","","checkboxes.spec.ts","","checkboxes.spec.ts","","Checkboxes Tests › User should be able to check and uncheck checkboxes",""
"passed","Fri Nov 08 13:47:45 GMT 2024","Fri Nov 08 13:47:47 GMT 2024","2638","","ab-test.spec.ts","","ab-test.spec.ts","","AB Test › User should be able to go to the AB test site",""
"passed","Fri Nov 08 13:47:45 GMT 2024","Fri Nov 08 13:47:47 GMT 2024","2428","","exit-intent.spec.ts","","exit-intent.spec.ts","","The modal should shown on mouse leaving the viewport",""
"passed","Fri Nov 08 13:47:45 GMT 2024","Fri Nov 08 13:47:51 GMT 2024","5988","","form-authentication.spec.ts","","form-authentication.spec.ts","","Error message should be shown after providing invalid password",""
"passed","Fri Nov 08 13:47:45 GMT 2024","Fri Nov 08 13:47:49 GMT 2024","4598","","dropdown.spec.ts","","dropdown.spec.ts","","Dropdown Tests › User is able to select dropdown options",""
"passed","Fri Nov 08 13:47:45 GMT 2024","Fri Nov 08 13:47:48 GMT 2024","3726","","disappearing-elements.spec.ts","","disappearing-elements.spec.ts","","DisappearingElements Tests › User is redirected to ""Not found"" page after clicking ""About"" link",""
"passed","Fri Nov 08 13:47:45 GMT 2024","Fri Nov 08 13:47:49 GMT 2024","4622","","add-remove-elements.spec.ts","","add-remove-elements.spec.ts","","Add/Remove Elements Tests › User should be able to add and remove one element",""
"passed","Fri Nov 08 13:47:45 GMT 2024","Fri Nov 08 13:47:48 GMT 2024","3676","","disappearing-elements.spec.ts","","disappearing-elements.spec.ts","","DisappearingElements Tests › User is redirected to ""Not found"" page after clicking ""Contact us"" link",""
"passed","Fri Nov 08 13:47:45 GMT 2024","Fri Nov 08 13:47:48 GMT 2024","3650","","disappearing-elements.spec.ts","","disappearing-elements.spec.ts","","DisappearingElements Tests › User is redirected to ""Not found"" page after clicking ""Portfolio"" link",""
"passed","Fri Nov 08 13:47:45 GMT 2024","Fri Nov 08 13:47:50 GMT 2024","4895","","dynamic-content.spec.ts","","dynamic-content.spec.ts","","Dynamic Content tests › The first to rows of page are the same with static content param",""
"passed","Fri Nov 08 13:47:45 GMT 2024","Fri Nov 08 13:47:48 GMT 2024","3582","","input.spec.ts","","input.spec.ts","","Inputs Test › User should be able to fill input with numbers",""
"passed","Fri Nov 08 13:47:45 GMT 2024","Fri Nov 08 13:47:47 GMT 2024","2619","","file-downloader.spec.ts","","file-downloader.spec.ts","","User should be able to download a file",""
"passed","Fri Nov 08 13:47:45 GMT 2024","Fri Nov 08 13:47:49 GMT 2024","4619","","context-menu.spec.ts","","context-menu.spec.ts","","Context Menu Tests › User should be able to see context menu alert",""
