"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 16 21:02:55 GMT 2024","Sat Nov 16 21:03:02 GMT 2024","7387","","add-remove-elements.spec.ts","","add-remove-elements.spec.ts","","Add/Remove Elements Tests › User should be able to add and remove two elements",""
"passed","Sat Nov 16 21:02:55 GMT 2024","Sat Nov 16 21:03:00 GMT 2024","5369","","context-menu.spec.ts","","context-menu.spec.ts","","Context Menu Tests › User should be able to see context menu alert",""
"passed","Sat Nov 16 21:02:55 GMT 2024","Sat Nov 16 21:02:59 GMT 2024","4218","","input.spec.ts","","input.spec.ts","","Inputs Test › User should be able to fill input with numbers",""
"passed","Sat Nov 16 21:02:55 GMT 2024","Sat Nov 16 21:02:59 GMT 2024","3839","","broken-images.spec.ts","","broken-images.spec.ts","","Broken Images Tests › The github link and avatar images have proper source",""
"passed","Sat Nov 16 21:02:55 GMT 2024","Sat Nov 16 21:02:58 GMT 2024","3010","","exit-intent.spec.ts","","exit-intent.spec.ts","","The modal should shown on mouse leaving the viewport",""
"passed","Sat Nov 16 21:02:55 GMT 2024","Sat Nov 16 21:03:00 GMT 2024","5278","","add-remove-elements.spec.ts","","add-remove-elements.spec.ts","","Add/Remove Elements Tests › User should be able to add and remove one element",""
"passed","Sat Nov 16 21:02:55 GMT 2024","Sat Nov 16 21:03:01 GMT 2024","6481","","form-authentication.spec.ts","","form-authentication.spec.ts","","Error message should be shown after providing invalid username",""
"passed","Sat Nov 16 21:02:55 GMT 2024","Sat Nov 16 21:02:58 GMT 2024","3274","","ab-test.spec.ts","","ab-test.spec.ts","","AB Test › User should be able to go to the AB test site",""
"passed","Sat Nov 16 21:02:55 GMT 2024","Sat Nov 16 21:03:01 GMT 2024","6071","","horizontal-slider.spec.ts","","horizontal-slider.spec.ts","","Should be able to change slider value",""
"passed","Sat Nov 16 21:02:55 GMT 2024","Sat Nov 16 21:03:02 GMT 2024","6854","","form-authentication.spec.ts","","form-authentication.spec.ts","","Error message should be shown after providing invalid password",""
"passed","Sat Nov 16 21:02:55 GMT 2024","Sat Nov 16 21:02:59 GMT 2024","4238","","floating-menu.spec.ts","","floating-menu.spec.ts","","After scrolling down the floating menu is still visible",""
"passed","Sat Nov 16 21:02:55 GMT 2024","Sat Nov 16 21:02:58 GMT 2024","3313","","frames.spec.ts","","frames.spec.ts","","Should be able to access all nested frames and verify hierarchy",""
"passed","Sat Nov 16 21:02:55 GMT 2024","Sat Nov 16 21:02:59 GMT 2024","4355","","disappearing-elements.spec.ts","","disappearing-elements.spec.ts","","DisappearingElements Tests › User is redirected to home page after clicking ""Home"" link",""
"passed","Sat Nov 16 21:02:55 GMT 2024","Sat Nov 16 21:03:00 GMT 2024","5235","","checkboxes.spec.ts","","checkboxes.spec.ts","","Checkboxes Tests › User should be able to check and uncheck checkboxes",""
"passed","Sat Nov 16 21:02:55 GMT 2024","Sat Nov 16 21:03:00 GMT 2024","5694","","dynamic-content.spec.ts","","dynamic-content.spec.ts","","Dynamic Content tests › The first to rows of page are the same with static content param",""
"passed","Sat Nov 16 21:02:55 GMT 2024","Sat Nov 16 21:03:09 GMT 2024","14561","","disappearing-elements.spec.ts","","disappearing-elements.spec.ts","","DisappearingElements Tests › The ""Gallery"" link shows and dissapears randomly",""
"passed","Sat Nov 16 21:02:55 GMT 2024","Sat Nov 16 21:03:06 GMT 2024","10782","","forgot-password.spec.ts","","forgot-password.spec.ts","","The reset password message is sent after forgot password request",""
"passed","Sat Nov 16 21:02:55 GMT 2024","Sat Nov 16 21:02:58 GMT 2024","3220","","add-remove-elements.spec.ts","","add-remove-elements.spec.ts","","Add/Remove Elements Tests › User should be able to go to the ""Add/Remove Elements"" page",""
"passed","Sat Nov 16 21:02:55 GMT 2024","Sat Nov 16 21:03:01 GMT 2024","6501","","form-authentication.spec.ts","","form-authentication.spec.ts","","User should succefully login after providing proper username and password",""
"passed","Sat Nov 16 21:02:55 GMT 2024","Sat Nov 16 21:02:59 GMT 2024","4540","","geolocation.spec.ts","","geolocation.spec.ts","","Should access and show users geolocation",""
"passed","Sat Nov 16 21:02:55 GMT 2024","Sat Nov 16 21:02:59 GMT 2024","4270","","entry-ad.spec.ts","","entry-ad.spec.ts","","User should be able to close Ad modal",""
"passed","Sat Nov 16 21:02:55 GMT 2024","Sat Nov 16 21:02:59 GMT 2024","4380","","disappearing-elements.spec.ts","","disappearing-elements.spec.ts","","DisappearingElements Tests › User is redirected to ""Not found"" page after clicking ""Contact us"" link",""
"passed","Sat Nov 16 21:02:55 GMT 2024","Sat Nov 16 21:03:00 GMT 2024","5344","","file-uploader.spec.ts","","file-uploader.spec.ts","","Upload files Tests › User is able to upload file with ""Choose file"" button",""
"passed","Sat Nov 16 21:02:55 GMT 2024","Sat Nov 16 21:02:59 GMT 2024","4320","","disappearing-elements.spec.ts","","disappearing-elements.spec.ts","","DisappearingElements Tests › User is redirected to ""Not found"" page after clicking ""About"" link",""
"passed","Sat Nov 16 21:02:55 GMT 2024","Sat Nov 16 21:02:59 GMT 2024","4157","","input.spec.ts","","input.spec.ts","","Inputs Test › User should not be able to fill input with alphabet characters",""
"passed","Sat Nov 16 21:02:55 GMT 2024","Sat Nov 16 21:02:59 GMT 2024","4320","","disappearing-elements.spec.ts","","disappearing-elements.spec.ts","","DisappearingElements Tests › User is redirected to ""Not found"" page after clicking ""Portfolio"" link",""
"passed","Sat Nov 16 21:02:55 GMT 2024","Sat Nov 16 21:03:00 GMT 2024","5438","","dropdown.spec.ts","","dropdown.spec.ts","","Dropdown Tests › User is able to select dropdown options",""
"passed","Sat Nov 16 21:02:55 GMT 2024","Sat Nov 16 21:03:00 GMT 2024","4826","","dynamic-content.spec.ts","","dynamic-content.spec.ts","","Dynamic Content tests › The page content is different for every page refresh",""
"passed","Sat Nov 16 21:02:55 GMT 2024","Sat Nov 16 21:02:58 GMT 2024","3089","","file-uploader.spec.ts","","file-uploader.spec.ts","","Upload files Tests › User is able to upload file using drag and drop area",""
"passed","Sat Nov 16 21:02:55 GMT 2024","Sat Nov 16 21:02:58 GMT 2024","3304","","challenging-dom.spec.ts","","challenging-dom.spec.ts","","Challenging Dom Tests › The table contains specific data",""
"passed","Sat Nov 16 21:02:55 GMT 2024","Sat Nov 16 21:02:58 GMT 2024","3399","","file-downloader.spec.ts","","file-downloader.spec.ts","","User should be able to download a file",""
"passed","Sat Nov 16 21:02:55 GMT 2024","Sat Nov 16 21:02:59 GMT 2024","4283","","drag-and-drop.spec.ts","","drag-and-drop.spec.ts","","User should be able drag and drop card a to card b",""
"passed","Sat Nov 16 21:02:55 GMT 2024","Sat Nov 16 21:02:58 GMT 2024","3443","","challenging-dom.spec.ts","","challenging-dom.spec.ts","","Challenging Dom Tests › 3 buttons with names changing randomly are visible",""
"passed","Sat Nov 16 21:02:55 GMT 2024","Sat Nov 16 21:02:59 GMT 2024","3882","","broken-images.spec.ts","","broken-images.spec.ts","","Broken Images Tests › The second and third image on the page are broken",""
