"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4663","Upload files Tests › User is able to upload file with ""Choose file"" button","","Sun Feb 15 17:32:04 UTC 2026","passed","Sun Feb 15 17:32:09 UTC 2026","","file-uploader.spec.ts","file-uploader.spec.ts",""
"","13885","DisappearingElements Tests › The ""Gallery"" link shows and dissapears randomly","","Sun Feb 15 17:32:04 UTC 2026","passed","Sun Feb 15 17:32:18 UTC 2026","","disappearing-elements.spec.ts","disappearing-elements.spec.ts",""
"","2777","Broken Images Tests › The github link and avatar images have proper source","","Sun Feb 15 17:32:04 UTC 2026","passed","Sun Feb 15 17:32:07 UTC 2026","","broken-images.spec.ts","broken-images.spec.ts",""
"","5131","Add/Remove Elements Tests › User should be able to add and remove one element","","Sun Feb 15 17:32:04 UTC 2026","passed","Sun Feb 15 17:32:10 UTC 2026","","add-remove-elements.spec.ts","add-remove-elements.spec.ts",""
"","180955","Broken Images Tests › The second and third image on the page are broken","","Sun Feb 15 17:32:04 UTC 2026","failed","Sun Feb 15 17:35:05 UTC 2026","","broken-images.spec.ts","broken-images.spec.ts",""
"","2796","Should be able to access all nested frames and verify hierarchy","","Sun Feb 15 17:32:04 UTC 2026","passed","Sun Feb 15 17:32:07 UTC 2026","","frames.spec.ts","frames.spec.ts",""
"","5587","Should be able to change slider value","","Sun Feb 15 17:32:04 UTC 2026","passed","Sun Feb 15 17:32:10 UTC 2026","","horizontal-slider.spec.ts","horizontal-slider.spec.ts",""
"","4969","Dropdown Tests › User is able to select dropdown options","","Sun Feb 15 17:32:04 UTC 2026","passed","Sun Feb 15 17:32:09 UTC 2026","","dropdown.spec.ts","dropdown.spec.ts",""
"","5187","Context Menu Tests › User should be able to see context menu alert","","Sun Feb 15 17:32:04 UTC 2026","passed","Sun Feb 15 17:32:10 UTC 2026","","context-menu.spec.ts","context-menu.spec.ts",""
"","2599","Upload files Tests › User is able to upload file using drag and drop area","","Sun Feb 15 17:32:04 UTC 2026","passed","Sun Feb 15 17:32:07 UTC 2026","","file-uploader.spec.ts","file-uploader.spec.ts",""
"","3726","Inputs Test › User should be able to fill input with numbers","","Sun Feb 15 17:32:04 UTC 2026","passed","Sun Feb 15 17:32:08 UTC 2026","","input.spec.ts","input.spec.ts",""
"","3015","Challenging Dom Tests › 3 buttons with names changing randomly are visible","","Sun Feb 15 17:32:04 UTC 2026","passed","Sun Feb 15 17:32:07 UTC 2026","","challenging-dom.spec.ts","challenging-dom.spec.ts",""
"","4086","Should access and show users geolocation","","Sun Feb 15 17:32:04 UTC 2026","passed","Sun Feb 15 17:32:09 UTC 2026","","geolocation.spec.ts","geolocation.spec.ts",""
"","6927","Add/Remove Elements Tests › User should be able to add and remove two elements","","Sun Feb 15 17:32:04 UTC 2026","passed","Sun Feb 15 17:32:11 UTC 2026","","add-remove-elements.spec.ts","add-remove-elements.spec.ts",""
"","3868","Dynamic Content tests › The page content is different for every page refresh","","Sun Feb 15 17:32:04 UTC 2026","passed","Sun Feb 15 17:32:08 UTC 2026","","dynamic-content.spec.ts","dynamic-content.spec.ts",""
"","5032","Dynamic Content tests › The first to rows of page are the same with static content param","","Sun Feb 15 17:32:04 UTC 2026","passed","Sun Feb 15 17:32:09 UTC 2026","","dynamic-content.spec.ts","dynamic-content.spec.ts",""
"","3749","Inputs Test › User should not be able to fill input with alphabet characters","","Sun Feb 15 17:32:04 UTC 2026","passed","Sun Feb 15 17:32:08 UTC 2026","","input.spec.ts","input.spec.ts",""
"","2818","AB Test › User should be able to go to the AB test site","","Sun Feb 15 17:32:04 UTC 2026","passed","Sun Feb 15 17:32:07 UTC 2026","","ab-test.spec.ts","ab-test.spec.ts",""
"","3843","User should be able drag and drop card a to card b","","Sun Feb 15 17:32:04 UTC 2026","passed","Sun Feb 15 17:32:08 UTC 2026","","drag-and-drop.spec.ts","drag-and-drop.spec.ts",""
"","3866","DisappearingElements Tests › User is redirected to ""Not found"" page after clicking ""Contact us"" link","","Sun Feb 15 17:32:04 UTC 2026","passed","Sun Feb 15 17:32:08 UTC 2026","","disappearing-elements.spec.ts","disappearing-elements.spec.ts",""
"","2742","Add/Remove Elements Tests › User should be able to go to the ""Add/Remove Elements"" page","","Sun Feb 15 17:32:04 UTC 2026","passed","Sun Feb 15 17:32:07 UTC 2026","","add-remove-elements.spec.ts","add-remove-elements.spec.ts",""
"","17673","File Downloader Tests › User should be able to download a file","","Sun Feb 15 17:32:04 UTC 2026","passed","Sun Feb 15 17:32:22 UTC 2026","","file-downloader.spec.ts","file-downloader.spec.ts",""
"","3787","DisappearingElements Tests › User is redirected to ""Not found"" page after clicking ""Portfolio"" link","","Sun Feb 15 17:32:04 UTC 2026","passed","Sun Feb 15 17:32:08 UTC 2026","","disappearing-elements.spec.ts","disappearing-elements.spec.ts",""
"","3293","Challenging Dom Tests › The table contains specific data","","Sun Feb 15 17:32:04 UTC 2026","passed","Sun Feb 15 17:32:08 UTC 2026","","challenging-dom.spec.ts","challenging-dom.spec.ts",""
"","10092","The reset password message is sent after forgot password request","","Sun Feb 15 17:32:04 UTC 2026","passed","Sun Feb 15 17:32:15 UTC 2026","","forgot-password.spec.ts","forgot-password.spec.ts",""
"","4810","Checkboxes Tests › User should be able to check and uncheck checkboxes","","Sun Feb 15 17:32:04 UTC 2026","passed","Sun Feb 15 17:32:09 UTC 2026","","checkboxes.spec.ts","checkboxes.spec.ts",""
"","3801","DisappearingElements Tests › User is redirected to home page after clicking ""Home"" link","","Sun Feb 15 17:32:04 UTC 2026","passed","Sun Feb 15 17:32:08 UTC 2026","","disappearing-elements.spec.ts","disappearing-elements.spec.ts",""
"","5887","Error message should be shown after providing invalid password","","Sun Feb 15 17:32:04 UTC 2026","passed","Sun Feb 15 17:32:10 UTC 2026","","form-authentication.spec.ts","form-authentication.spec.ts",""
"","6345","Error message should be shown after providing invalid username","","Sun Feb 15 17:32:04 UTC 2026","passed","Sun Feb 15 17:32:11 UTC 2026","","form-authentication.spec.ts","form-authentication.spec.ts",""
"","3759","After scrolling down the floating menu is still visible","","Sun Feb 15 17:32:04 UTC 2026","passed","Sun Feb 15 17:32:08 UTC 2026","","floating-menu.spec.ts","floating-menu.spec.ts",""
"","2605","The modal should shown on mouse leaving the viewport","","Sun Feb 15 17:32:04 UTC 2026","passed","Sun Feb 15 17:32:07 UTC 2026","","exit-intent.spec.ts","exit-intent.spec.ts",""
"","6228","User should succefully login after providing proper username and password","","Sun Feb 15 17:32:04 UTC 2026","passed","Sun Feb 15 17:32:11 UTC 2026","","form-authentication.spec.ts","form-authentication.spec.ts",""
"","3786","DisappearingElements Tests › User is redirected to ""Not found"" page after clicking ""About"" link","","Sun Feb 15 17:32:04 UTC 2026","passed","Sun Feb 15 17:32:08 UTC 2026","","disappearing-elements.spec.ts","disappearing-elements.spec.ts",""
"","3814","User should be able to close Ad modal","","Sun Feb 15 17:32:04 UTC 2026","passed","Sun Feb 15 17:32:08 UTC 2026","","entry-ad.spec.ts","entry-ad.spec.ts",""
